phase,index,slab_bytes,cum_bytes,alloc_ms,touch_ms,commit_gibps,avail_phys_bytes,avail_commit_bytes,gpu_read_gbps,status
mixed_b,4,2147483648,10737418240,273.650,6.950,287.770,23916744704,55556452352,0.000,ok
mixed_b,5,2147483648,12884901888,275.701,6.734,296.996,21749526528,53386354688,0.000,ok
mixed_b,6,2147483648,15032385536,279.409,6.820,293.268,19586703360,51216982016,0.000,ok
mixed_b,7,2147483648,17179869184,275.264,8.061,248.099,17423429632,49055084544,0.000,ok
mixed_b,8,2147483648,19327352832,319.066,8.063,248.050,15253032960,46881902592,0.000,ok
mixed_b,9,2147483648,21474836480,398.039,9.453,211.575,13096460288,44721704960,0.000,ok
mixed_b,10,2147483648,23622320128,415.682,9.183,217.787,10934808576,42553933824,0.000,ok
mixed_b,11,2147483648,25769803776,429.610,8.911,224.452,8769908736,40386379776,0.000,ok
mixed_b,12,2147483648,27917287424,379.877,7.928,252.267,6605484032,38210228224,0.000,ok
mixed_b_total,13,2147483648,27917287424,0.000,0.000,0.000,6605484032,38210228224,0.000,floor: available physical 6.15 GiB < slab 2.00 + floor 6.00 GiB
mixed_total,50,2147483648,107374182400,0.000,0.000,0.000,6605484032,38210228224,0.000,grand total
mixed_a_rawread,0,2147483648,0,0.000,0.000,0.000,0,0,216.103,rawread
mixed_b_rawread,0,2147483648,0,0.000,0.000,0.000,0,0,207.484,rawread
summary,0,2147483648,107374182400,0.000,0.000,0.000,50445299712,146701844480,0.000,complete
