run,kernel,us,bytes,gbps,lanes,subgroup,rows,heads_per_wg,ksplit_wqa,ksplit_wkv,ksplit_woa,ksplit_wob,ksplit_rows,tiles,tile_heads,pv_tiles,pv_heads,n_kv,fp8_arith,shader_dir,extra_flags,note
fin_kv4k,indexer.weights,23.36,327680,14.0,32,32,2,1,2,2,4,8,1,64,8,8,1,4096,0,"build/shaders","","synthetic 4096-entry KV list (13.5)"
fin_kv32k,mega_mhc.post,2.39,163840,68.6,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,mega_mhc.mix,5.35,1966080,367.2,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,mega_mhc.final,3.25,40960,12.6,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wq_a,38.31,6560000,171.3,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wq_b,195.12,41984000,215.2,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wkv.gemv,9.80,2624000,267.9,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wkv.finish,10.23,2560,0.3,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,sparse_attn_t.score,1584.68,33490944,21.1,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,sparse_attn_t.pv,3323.10,33490944,10.1,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,sparse_attn_t.finish,6.54,1048576,160.3,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wo_a,198.17,33587200,169.5,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wo_b,268.13,41984000,156.6,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
