section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 25600x6144 wfp8 xq,512,2,0,0,337.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn P.V tiles,512,40,0,0,312.1,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn gather,512,40,0,0,222.5,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s5,512,136,0,0,180.5,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s4,512,80,0,0,165.4,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn q16,512,40,0,0,125.5,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn softmax,512,40,0,0,125.4,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 1280x5120 wfp8 xq,512,40,0,0,97.9,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_attn s2,512,8,0,0,88.5,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s1,512,88,0,0,86.9,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 512x5120 wfp8 xq,512,40,0,0,82.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s2,512,81,0,0,63.3,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s0,512,162,0,0,56.7,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 24x20480 wfp32 xf32,512,80,0,0,52.1,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 384x5120 wbf16 xf32,512,40,0,0,42.0,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s7,512,2,0,0,32.5,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn finish,512,40,0,0,29.7,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: index score readback,512,8,0,0,29.0,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 129280x5120 wbf16 xf32,512,1,0,0,12.2,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 512x5120 wbf16 xf32,512,7,0,0,11.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 4096x1280 wfp8 xq,512,8,0,0,11.5,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s3,512,80,0,0,8.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: gate top-6 readback,512,40,0,0,5.2,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gate top-6 (gpu),512,40,0,0,3.9,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 32x5120 wbf16 xf32,512,8,0,0,1.9,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: MoE CSR,512,40,0,0,1.0,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 128x512 wbf16 xf32,512,4,0,0,0.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: index top-k,512,8,0,0,0.3,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s6,512,3,0,0,0.3,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: candidate blocks,512,8,0,0,0.0,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,total,512,7875,0,148119552000,128263.3,4.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,embed,512,7875,0,148119552000,34.2,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,engram_io,512,7875,0,148119552000,14799.3,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,engram_gpu,512,7875,0,148119552000,372.7,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,mhc,512,7875,0,148119552000,291.0,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,attention,512,7875,0,148119552000,3436.4,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gate_route,512,7875,0,148119552000,61.2,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,shared_expert,512,7875,0,148119552000,211.3,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,expert_io,512,7875,0,148119552000,97109.6,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,expert_gpu,512,7875,0,148119552000,11662.6,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,head,512,7875,0,148119552000,17.7,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=512 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host_other,512,7875,0,148119552000,267.1,0.0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_attn s2,17010,107,0,0,80751.4,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,attn (coop, submit+wait),17010,700,0,0,69348.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn score tiles,17010,700,0,0,19109.3,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: index score readback,17010,107,0,0,18051.4,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 8192x4096 wfp8 xf32,17010,700,0,0,17531.7,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s0,17010,822,0,0,17437.5,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn P.V tiles,17010,700,0,0,15029.5,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s7,17010,2,0,0,13875.2,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 5120x8192 wfp8 xq,17010,700,0,0,12867.0,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn gather,17010,700,0,0,12805.7,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 25600x6144 wfp8 xq,17010,2,0,0,12022.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 32768x1280 wfp8 xq,17010,700,0,0,10769.3,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn softmax,17010,700,0,0,10131.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: index top-k,17010,107,0,0,6537.7,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 1280x5120 wfp8 xq,17010,20,0,0,6135.7,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s5,17010,1555,0,0,5615.4,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s4,17010,80,0,0,4397.0,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn q16,17010,700,0,0,4068.2,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 384x5120 wbf16 xf32,17010,20,0,0,1989.2,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 512x5120 wfp8 xq,17010,20,0,0,1608.3,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
