section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,gemm 25600x6144 wfp8 xq,4133,2,0,0,2598.0,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,gpu: attn gather,4133,200,0,0,2116.8,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,prefill_attn s2,4133,32,0,0,1984.2,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,gpu: attn softmax,4133,200,0,0,1578.8,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,host: gate readback,4133,40,0,0,1276.9,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,host: index score readback,4133,32,0,0,1057.2,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,prefill_elem s5,4133,480,0,0,957.6,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,host: gate top-6,4133,40,0,0,830.3,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,prefill_elem s4,4133,80,0,0,828.8,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,gpu: attn q16,4133,200,0,0,817.1,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,host: index top-k,4133,32,0,0,726.1,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1,coop 1280x5120 wfp8 xq,4133,40,0,0,560.3,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
